lesson_id,module_slug,subject,grade_band,total_linked_questions,flagged_linked_questions,blocked_linked_questions,generic_linked_questions,blocked_rate,all_linked_questions_blocked,reason_codes,flagged_question_ids,lesson_title
38,1-electives-computer-science-algorithms-unplugged,Electives,1,12,0,0,0,0,false,,,Algorithms (unplugged) Launch Lesson
39,10-electives-computer-science-cs-principles-data-structures-intro-web-dev-basics,Electives,10,24,0,0,0,0,false,,,"CS Principles, Data Structures (intro), Web Dev Basics Launch Lesson"
40,11-electives-financial-literacy-elective-taxes-credit-debt,Electives,11,28,0,0,0,0,false,,,Taxes/Credit/Debt Launch Lesson
41,12-electives-financial-literacy-elective-investing-basics,Electives,12,24,0,0,0,0,false,,,Investing Basics Launch Lesson
42,k-electives-health-and-pe-movement-safety-hygiene,Electives,K,24,0,0,0,0,false,,,"Movement, Safety, Hygiene Launch Lesson"
56,9-electives-arts-and-music-studio-art-design-music-composition-performance,Electives,9,28,0,0,0,0,false,,,"Studio Art, Design, Music Composition/Performance Launch Lesson"
58,1-english-language-arts-reading-literature-poetry-short-forms,English Language Arts,1,16,0,0,0,0,false,,,Poetry (short forms) Launch Lesson
59,10-english-language-arts-reading-literature-world-lit-pd-where-possible,English Language Arts,10,24,0,0,0,0,false,,,World Lit (PD where possible) Launch Lesson
60,11-english-language-arts-reading-literature-american-british-lit-pd-works,English Language Arts,11,24,0,0,0,0,false,,,American/British Lit (PD works) Launch Lesson
61,12-english-language-arts-reading-informational-rhetoric-and-argument,English Language Arts,12,16,0,0,0,0,false,,,Rhetoric & Argument Launch Lesson
62,2-english-language-arts-reading-literature-picture-books-pd,English Language Arts,2,8,0,0,0,0,false,,,Picture Books (PD) Launch Lesson
69,9-english-language-arts-writing-and-grammar-research-papers-rhetoric-style-mla-apa-basics-grammar-review,English Language Arts,9,24,0,0,0,0,false,,,"Research Papers, Rhetoric, Style, MLA/APA Basics, Grammar Review Launch Lesson"
70,k-english-language-arts-speaking-and-listening-show-and-tell-retelling,English Language Arts,K,16,0,0,0,0,false,,,"Show & Tell, Retelling Launch Lesson"
71,1-mathematics-geometry-and-measurement-length-weight-capacity-non-standard-standard,Mathematics,1,16,0,0,0,0,false,,,Length/Weight/Capacity (non-standard/standard) Launch Lesson
72,10-mathematics-geometry-and-measurement-transformations-advanced,Mathematics,10,36,0,0,0,0,false,,,Transformations (advanced) Launch Lesson
73,11-mathematics-precalculus-calculus-advanced-hs-derivatives-intro,Mathematics,11,16,0,0,0,0,false,,,Derivatives (intro) Launch Lesson
74,12-mathematics-data-and-probability-statistics-regression-linear-multiple,Mathematics,12,24,0,0,0,0,false,,,Regression (linear/multiple) Launch Lesson
75,2-mathematics-geometry-and-measurement-2d-3d-shapes-and-attributes,Mathematics,2,16,0,0,0,0,false,,,2D/3D Shapes & Attributes Launch Lesson
82,9-mathematics-algebra-hs-pathways-linear-quadratic-functions,Mathematics,9,24,0,0,0,0,false,,,Linear/Quadratic Functions Launch Lesson
83,k-mathematics-geometry-and-measurement-perimeter-intro,Mathematics,K,20,0,0,0,0,false,,,Perimeter (intro) Launch Lesson
84,2-science-physical-science-energy-heat-sun,Science,2,12,0,0,0,0,false,,,Energy (heat/sun) Launch Lesson
85,10-science-engineering-practices-systems-design,Science,10,32,0,0,0,0,false,,,Systems Design Launch Lesson
86,11-science-life-science-evolution-advanced,Science,11,24,0,0,0,0,false,,,Evolution (advanced) Launch Lesson
87,12-science-life-science-molecular-genetics,Science,12,16,0,0,0,0,false,,,Molecular Genetics Launch Lesson
95,9-science-earth-and-space-oceanography-atmospheric-science,Science,9,24,0,0,0,0,false,,,Oceanography/Atmospheric Science Launch Lesson
96,k-science-life-science-habitats,Science,K,12,0,0,0,0,false,,,Habitats Launch Lesson
97,k-social-studies-economics-and-financial-literacy-choices-and-trade,Social Studies,K,20,0,0,0,0,false,,,Choices & Trade Launch Lesson
98,10-social-studies-us-history-thematic-ap-style-depth-pd-docs,Social Studies,10,28,0,0,0,0,false,,,Thematic/AP-style depth (PD docs) Launch Lesson
99,12-social-studies-economics-and-financial-literacy-personal-finance-taxes-credit,Social Studies,12,24,0,0,0,0,false,,,"Personal Finance (taxes, credit) Launch Lesson"
101,2-social-studies-world-history-and-geography-maps-globes-basic,Social Studies,2,12,0,0,0,0,false,,,Maps/Globes (basic) Launch Lesson
108,9-social-studies-world-history-and-geography-modern-era-globalization-human-geography,Social Studies,9,24,0,0,0,0,false,,,"Modern Era, Globalization, Human Geography Launch Lesson"
109,k-social-studies-us-history-national-symbols,Social Studies,K,16,0,0,0,0,false,,,National Symbols Launch Lesson
124,3-english-language-arts-vocabulary-roots-prefixes-suffixes,English Language Arts,3,42,0,0,0,0,false,,,Roots/Prefixes/Suffixes
125,3-english-language-arts-writing-and-grammar-paragraphs-narratives-expository-writing-grammar-basics,English Language Arts,3,147,0,0,0,0,false,,,"Paragraphs, Narratives, Expository Writing, Grammar Basics"
126,4-english-language-arts-reading-informational-biographies-pd,English Language Arts,4,798,0,0,0,0,false,,,Biographies (PD)
